RD,TDLinx,Store Name - Nielsen,Store Type,Street Name,Barangay,Municipality,Province,Region,Longitude,Latitude,Accuracy,Average Daily Sales: Sari Sari Store,Located? (Yes/No),cluster_label
Extreme Reach,7K016057,ARC VARIETY STORE(WHOLESALE AND RETAIL),Sari Sari Store,Filipino American Friendship Avenue,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1304067,6.074225,1.2,"2001 - 3,500",No,48
Extreme Reach,7K015966,No Trade Name,Sari Sari Store,Parrot street block 5 &6 purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1218133,6.084486667,1.3,101 - 500,No,47
Extreme Reach,7K015965,No Trade Name,Sari Sari Store,Falcon street purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1216233,6.083915,1.4,101 - 500,No,47
Extreme Reach,7K015952,No Trade Name,Sari Sari Store,,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1321983,6.074526667,1.6,101 - 500,No,48
Extreme Reach,7K012888,FABELLON STORE,Sari Sari Store,Teachers Village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1383067,6.077716667,1.4,"501 - 2,000",No,2
Extreme Reach,7K015975,No Trade Name,Sari Sari Store,purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1208533,6.082898333,1.5,101 - 500,No,47
Extreme Reach,7K015984,No Trade Name,Sari Sari Store,ST. PETER AVE.,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.131675,6.075336667,1.7,"501 - 2,000",No,48
Extreme Reach,7K012875,No Trade Name,Sari Sari Store,,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.135925,6.088195,1.4,"501 - 2,000",No,181
Extreme Reach,7K015915,GORECHO STORE,Sari Sari Store,Fernandez Brgy. Calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1316467,6.075791667,1.5,"501 - 2,000",No,48
Extreme Reach,7K015957,No Trade Name,Sari Sari Store,Tomasa Extension,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.121925,6.086356667,1.3,101 - 500,No,47
Extreme Reach,7K015914,No Trade Name,Sari Sari Store,Fernandez Brgy. Calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1317033,6.07604,1.7,101 - 500,No,48
Extreme Reach,7K015963,No Trade Name,Sari Sari Store,purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1215983,6.085098333,1.4,101 - 500,No,47
Extreme Reach,7K012879,No Trade Name,Sari Sari Store,,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.13606,6.08706,1.7,"501 - 2,000",No,181
Extreme Reach,7K015916,APPLE JANE STORE,Sari Sari Store,Fernandez Brgy. Calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1324183,6.075145,1.3,101 - 500,No,48
Extreme Reach,7K015950,CHRISLYN- EVE STORE,Sari Sari Store,St. Michael street Brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.13277,6.075163333,1.5,101 - 500,No,48
Extreme Reach,7K015959,No Trade Name,Sari Sari Store,purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.121055,6.085593333,1.4,101 - 500,No,47
Extreme Reach,7K015972,SHEN-SHEN STORE,Sari Sari Store,purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1207783,6.083126667,1.5,"501 - 2,000",No,47
Extreme Reach,7K015974,DELGADO-PENASO STORE,Sari Sari Store,Angry bird purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1211217,6.083035,1.5,"501 - 2,000",No,47
Extreme Reach,7K015977,JEAN STORE,Sari Sari Store,Templado village purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1186483,6.082448333,1.8,101 - 500,No,47
Extreme Reach,7K012886,MAYO STORE,Sari Sari Store,Carmenville Village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1377683,6.077876667,1.3,"2001 - 3,500",No,2
Extreme Reach,7K012864,No Trade Name,Sari Sari Store,Third street,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1370517,6.086708333,1.7,"501 - 2,000",No,181
Extreme Reach,7K012857,No Trade Name,Sari Sari Store,Accord Village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1373583,6.086603333,1.5,"501 - 2,000",No,181
Extreme Reach,7K012824,No Trade Name,Sari Sari Store,Orchid street,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.141105,6.080635,1.4,"501 - 2,000",No,2
Extreme Reach,7K015954,BETTE-SARI SARI STORE,Sari Sari Store,Fernandez Brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1316017,6.074105,1.2,"3,501 And Up",No,48
Extreme Reach,7K015951,No Trade Name,Sari Sari Store,,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.131665,6.074718333,1.7,"501 - 2,000",No,48
Extreme Reach,7K015911,No Trade Name,Sari Sari Store,Lanoy Brgy. Calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.14962,6.086155,1.8,"2001 - 3,500",No,189
Extreme Reach,7K016052,No Trade Name,Sari Sari Store,Templado block 1 lot 1,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1187083,6.082256667,1.2,101 - 500,No,47
Extreme Reach,7K015976,No Trade Name,Sari Sari Store,Templado purok opring brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.11951,6.082313333,1.6,"501 - 2,000",No,47
Extreme Reach,7K015953,No Trade Name,Sari Sari Store,Fernandez Brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.13275,6.074738333,1.3,"501 - 2,000",No,48
