DistributorID,AgentID,CustNo,RouteDate,StopNo,Name,WD,SalesManTerritory,latitude,longitude,dayno,distancetonextstore
11814,SK-DP4,7K013675,2025-11-07,42,7K013675,5,SK-DP4,6.08487833,125.1264567,5,0.052
11814,SK-DP4,7K013597,2025-11-07,43,7K013597,5,SK-DP4,6.0847,125.126025,5,0.07
11814,SK-DP4,7K013674,2025-11-07,44,7K013674,5,SK-DP4,6.08505167,125.125505,5,0.032
11814,SK-DP4,7K013594,2025-11-07,45,7K013594,5,SK-DP4,6.08506667,125.1252133,5,0.053
11814,SK-DP4,7K013219,2025-11-07,46,7K013219,5,SK-DP4,6.08535833,125.1255933,5,0.098
11814,SK-DP4,7K013262,2025-11-07,47,7K013262,5,SK-DP4,6.08572,125.1264033,5,0.228
11814,SK-DP4,7K013217,2025-11-07,48,7K013217,5,SK-DP4,6.085485,125.1243517,5,0.055
11814,SK-DP4,7K013288,2025-11-07,49,7K013288,5,SK-DP4,6.08574167,125.123925,5,0.005
11814,SK-DP4,7K013325,2025-11-07,50,7K013325,5,SK-DP4,6.085735,125.1238817,5,0.022
11814,SK-DP4,7K013214,2025-11-07,51,7K013214,5,SK-DP4,6.08571,125.123685,5,0.394
11814,SK-DP4,7K013602,2025-11-07,52,7K013602,5,SK-DP4,6.08334167,125.1263367,5,0.122
11814,SK-DP4,7K013228,2025-11-07,53,7K013228,5,SK-DP4,6.08226,125.1265067,5,0.056
11814,SK-DP4,7K013603,2025-11-07,54,7K013603,5,SK-DP4,6.08224,125.1260033,5,0.094
11814,SK-DP4,7K013621,2025-11-07,55,7K013621,5,SK-DP4,6.082245,125.1251567,5,0.426
11814,SK-DP4,7K015980,2025-11-07,56,7K015980,5,SK-DP4,6.08187667,125.1213217,5,0.206
11814,SK-DP4,7K015976,2025-11-07,57,7K015976,5,SK-DP4,6.08231333,125.11951,5,0.073
11814,SK-DP4,7K015978,2025-11-07,58,7K015978,5,SK-DP4,6.08287333,125.1191667,5,0.074
11814,SK-DP4,7K015977,2025-11-07,59,7K015977,5,SK-DP4,6.08244833,125.1186483,5,0.022
11814,SK-DP4,7K016052,2025-11-07,60,7K016052,5,SK-DP4,6.08225667,125.1187083,5,0.0
11814,SK-DP4,7K016431,2025-11-10,1,7K016431,1,SK-DP4,6.07800333,125.1463617,6,0.027
11814,SK-DP4,7K011501,2025-11-10,2,7K011501,1,SK-DP4,6.07805167,125.146125,6,0.009
11814,SK-DP4,7K011539,2025-11-10,3,7K011539,1,SK-DP4,6.07813167,125.1461167,6,0.007
11814,SK-DP4,7K011506,2025-11-10,4,7K011506,1,SK-DP4,6.078195,125.14611,6,0.015
11814,SK-DP4,7K011540,2025-11-10,5,7K011540,1,SK-DP4,6.07826167,125.146225,6,0.006
11814,SK-DP4,7K011503,2025-11-10,6,7K011503,1,SK-DP4,6.07831833,125.1462367,6,0.04
11814,SK-DP4,7K011538,2025-11-10,7,7K011538,1,SK-DP4,6.078165,125.14591,6,0.012
11814,SK-DP4,7K011499,2025-11-10,8,7K011499,1,SK-DP4,6.07821,125.1458117,6,0.016
11814,SK-DP4,7K011537,2025-11-10,9,7K011537,1,SK-DP4,6.07822333,125.1456683,6,0.028
11814,SK-DP4,7K011516,2025-11-10,10,7K011516,1,SK-DP4,6.078185,125.1454167,6,0.005
11814,SK-DP4,7K011498,2025-11-10,11,7K011498,1,SK-DP4,6.07815833,125.145385,6,0.02
11814,SK-DP4,7K011543,2025-11-10,12,7K011543,1,SK-DP4,6.07824167,125.1452233,6,0.021
11814,SK-DP4,7K011541,2025-11-10,13,7K011541,1,SK-DP4,6.07840833,125.1451433,6,0.011
